NAMA SEKOLAH ,Y,Z
SMP TIARA BHAKTI,-5.438742222,105.3274459
SMAN 17 BANDAR LAMPUNG ,-5.463265719,105.3250268
SMAN 6 BANDAR LAMPUNG ,-5.438022267,105.2964803
SMAS YPPL PANJANG ,-5.483451914,105.3239146
SMKS DHARMA PALA PANJANG,-5.483619386,105.3243254
SMKS PLUS BANII SALIM,-5.404289251,105.2805934
SMKS YPPLK BANDAR LAMPUNG ,-5.483332542,105.3239523
SDN 1 GEDONG AIR,-5.396959725,105.2480381
SDN 1 SEGALAMIDER,-5.391623842,105.2496325
SDN 1 SUKADANAHAM,-5.421156719,105.2268695
SDN 1 SUKAJAWA,-5.401701132,105.2497781
SDN 1 SUSUNAN BARU,-5.402107989,105.2328914
SDN 2 GEDONG AIR ,-5.404057275,105.241003
SDN 2 SUKAJAWA,-5.408686681,105.2494774
SDN 2 SUSUNAN BARU,-5.408228096,105.2241998
SDN 3 GEDONG AIR,-5.398067794,105.2504992
SDN 4 GEDONG AIR ,-5.400774578,105.2423457
SDN 4 SUKAJAWA,-5.408865246,105.2497516
SDN 5 SUKAJAWA,-5.409609852,105.2472376
SDN 6 GEDONG AIR,-5.404294507,105.2363425
SDN 8 GEDONG AIR,-5.398809025,105.2478619
SD AR RAUDAH,-5.408284496,105.248608
SD IT AN-NAHL,-5.403224508,105.2355203
SDS DCC GLOBAL,-5.390016714,105.2447706
SMPN 32 BANDAR LAMPUNG,-5.403925845,105.2287194
SMPN 10 BANDAR LAMPUNG ,-5.392480505,105.2486802
SMPS DCC GLOBAL SCHOOL,-5.390016714,105.2447706
SMP WIYATAMA,-5.392620342,105.2475891
SMAN 16 BANDAR LAMPUNG,-5.402175476,105.2294019
SMAN 9 BANDAR LAMPUNG,-5.390250597,105.2482563
SMAS DCC GLOBAL SCHOOL,-5.390016714,105.2447706
SMAS ISLAM CENDIKIA,-5.40921686,105.2502406
SMKN 9 BANDAR LAMPUNG,-5.408568362,105.2278507
SMKS BHAKTI UTAMA 1,-5.386345515,105.2487666
SMKS FARMASI KESUMA BANGSA ,-5.399991769,105.2470533
SDN 1 DURIAN PAYUNG,-5.420461053,105.2459692
SDN 1 KALIAWI,-5.411950685,105.2504506
SDN 1 PALAPA,-5.420820534,105.2533407
SDN 1 PASIR GINTUNG,-5.403607988,105.2559117
SDN 2 PALAPA,-5.421168506,105.2543426
SDN 3 KALIAWI,-5.415539233,105.2505655
SDN 4 KALIAWI,-5.415402624,105.2504926
SDN GOTONG ROYONG,-5.424399542,105.253317
SD FRANSISKUS,-5.405123349,105.2579275
SD ISLAM AZZAHRA,-5.422708769,105.2549386
SD KARTIKA II-5,-5.419734025,105.2543258
SD KRISTEN BPK PENABUR,-5.423193221,105.2559688
SD PELITA BANGSA,-5.420681687,105.2469732
SMPN 25 BANDAR LAMPUNG,-5.426640127,105.2560646
SMPN 9 BANDAR LAMPUNG,-5.42674895,105.2539829
SMP FRANSISKUS,-5.405238851,105.2579476
SMP ISLAM AZZAHRA BANDAR LAMPUNG,-5.422915527,105.2554233
SMP ISLAM NAZHIRAH,-5.41865791,105.2533045
SMP KARTIKA II-2 BANDAR LAMPUNG,-5.42014183,105.254171
SMP PGRI 1 BANDAR LAMPUNG,-5.419013215,105.2508701
SMP PELITA BANGSA,-5.420585318,105.2469868
SMPS PERINTIS 2 BANDAR LAMPUNG ,-5.417817377,105.2462092
SMP SWADAYA BANDAR LAMPUNG ,-5.411108509,105.2498828
SMAN 2 BANDAR LAMPUNG ,-5.426672512,105.254982
SMAN 3 BANDAR LAMPUNG ,-5.419186344,105.2444583
SMAS ADIGUNA,-5.41929951,105.245568
SMAS ISLAM NAZHIRAH,-5.418786081,105.2533153
SMAS PELITA BANGSA ,-5.420735091,105.2470161
SMAS PERINTIS 1 BANDAR LAMPUNG ,-5.417447705,105.2481805
SMAS PERINTIS 2 BANDAR LAMPUNG ,-5.41784942,105.2461985
SMK PALAPA,-5.417030148,105.2485636
SMK TRISAKTI JAYA,-5.419447015,105.2437332
SMKS PGRI 2 BANDAR LAMPUNG,-5.419505968,105.2452247
SDN 1 KALIBALAU KENCANA,-5.399612672,105.2861423
SDN 1 KEDAMAIAN,-5.41512575,105.2932891
SDN 1 TANJUNG AGUNG,-5.41261075,105.269186
SDN 1 TANJUNG GADING,-5.426415617,105.2766671
SDN 1 TANJUNG RAYA,-5.422209951,105.2827921
SDN 2 KEDAMAIAN,-5.415003212,105.2820528
SD IT FITRAH INSANI,-5.409213108,105.2912107
SD IT INSANTAMA,-5.427323364,105.2837072
SD MAWAR SARON,-5.40836807,105.2852966
SD SCHOOL OF VICTORY,-5.407243613,105.2857307
SDS WELLINGTON SCHOOL,-5.411037538,105.2804921
SMPN 5 BANDAR LAMPUNG,-5.41234889,105.2698127
SMP ISLAM YPRI,-5.416624562,105.2919538
SMP MAWAR SARON,-5.40836807,105.2852966
SMPS NUSANTARA,-5.412491428,105.2687433
SMPS PAJAJARAN,-5.400201914,105.2828143
SMPS SWASTA 20,-5.404352651,105.2780489
SMPS TUNAS MEKAR INDONESIA ,-5.400345724,105.2828437
SMP SCHOOL OF VICTORY,-5.407153021,105.2857509
SMP WELLINGTON,-5.410978533,105.2804569
SMAN 10 BANDAR LAMPUNG,-5.428826777,105.2758043
SMAS TUNAS MEKAR INDONESIA ,-5.40039913,105.2828651
SDN 1 KAMPUNG BARU,-5.371839843,105.2507542
SDN 1 LABUHAN RATU,-5.381539366,105.2578437
SDN 1 SEPANG JAYA,-5.372558865,105.2643273
SDN 2 KAMPUNG BARU,-5.363055626,105.2471166
SDN 2 LABUHAN RATU,-5.381976095,105.2567366
SDN 2 SEPANG JAYA ,-5.37762149,105.2676519
SDN 3 KAMPUNG BARU,-5.360783819,105.253729
SDN 3 LABUHAN RATU,-5.368373573,105.2545915
SD IT ALQURRO BANDAR LAMPUNG,-5.363868818,105.2622839
SD MUHAMMADIYAH 1 BANDAR LAMPUNG,-5.377114898,105.252701
SMPN 34 BANDAR LAMPUNG,-5.383849196,105.2539776
SMPN 8 BANDAR LAMPUNG ,-5.372594793,105.2500149
SMP AL-AZHAR 1 BANDAR LAMPUNG,-5.382290759,105.2523112
SMP IT AULADINA INDONESIA ,-5.370627441,105.2624541
SMP MUH.3 BANDAR LMAPUNG ,-5.378290866,105.2519246
SMAS FRASISCUS ,-5.37341469,105.2507459
SMAS MUHAMMADIYAH 2,-5.376975048,105.2532409
SMAS AL-AZHAR,-5.37893126,105.2712636
SMKS BHINEKA,-5.379651617,105.2580525
SMKS MUHAMMADIYAH 2 ,-5.377625518,105.2525544
SDN 1 KEDATON,-5.385996681,105.2528316
SDN 1 PENENGAHAN,-5.398702144,105.2622054
SDN 1 SIDODADI,-5.386522467,105.2564781
SDN 1 SUKAMENANTI,-5.393385964,105.2561187
SDN 1 SURABAYA,-5.387611837,105.2653229
SDN 2 SUKAMENANTI,-5.392250105,105.2533547
SDN 5 PENENGAHAN,-5.398517319,105.2546172
SD ISLAM AL AZHAR 50,-5.384967256,105.257328
SD SEJAHTERA 1,-5.392439105,105.2589138
SD SEJAHTERA 4,-5.392351286,105.2583156
SD TAHFIDZ SAHABAT QURAN AL-HIKMAH,-5.384126085,105.2595005
SMPN 43 BANDAR LAMPUNG ,-5.398667556,105.2562987
SMP AL AZHAR 3 BANDAR LAMPUNG,-5.381710892,105.2704026
SMP BINA MULYA,-5.395100681,105.2550161
SMP KRISTEN 5 KEDATON,-5.386396448,105.2639676
SMP PENYIMBANG BANDAR LAMPUNG,-5.383265485,105.2602121
SMP PGRI 4 BANDAR LAMPUNG ,-5.385098435,105.2586798
SMP SEJAHTERA ,-5.392174956,105.2587262
SMP SURYA DHARMA ,-5.383557426,105.2671811
SMA PENYIMBANG ,-5.383350937,105.2601907
SMAS BINA MULYA KEDATON,-5.395068637,105.2550054
SMAS SURYA DHARMA 2 KEDATON,-5.383042596,105.2672718
SMK GEOMATIKA LAMPUNG,-5.417718881,105.2619954
SMK KESEHATAN BANDAR LAMPUNG ,-5.380739937,105.2915041
SMKS BINA MULYA,-5.393706148,105.2557251
SMKS PENERBANGAN LAMPUNG ,-5.364078293,105.2378123
SMKS SURYA DHARMA BANDAR LAMPUNG,-5.383468708,105.2672577
SDN 1 PESAWAHAN ,-5.448693716,105.2612823
SDN 1 SUMUR PUTRI,-5.438629575,105.2559864
SDN 1 TALANG ,-5.446405278,105.2567506
SDN 1 TELUKBETUNG ,-5.44420432,105.2685768
SDN 2 PESAWAHAN,-5.448876439,105.2611106
SDN 2 TALANG ,-5.446134776,105.2565656
SDN 3 SUMUR PUTRI ,-5.432576055,105.2433613
SDN 3 TALANG ,-5.442881113,105.2566353
SDN 4 TALANG ,-5.446439735,105.2569423
SDN 5 TALANG ,-5.445196357,105.2587524
SD BODHISATTYA,-5.451696779,105.2592118
SD GENERASI MUDA ,-5.451919517,105.2620178
SD ISLAMIYAH,-5.447959539,105.2685439
SD LAZUARDI HAURA GLOBAL ISLAMIC SCHOOL,-5.431838193,105.2414127
SD PERKEMAS ,-5.452097979,105.2626111
SD TRINITAS,-5.437181944,105.2538726
SD XAVERIUS 1 BANDAR LAMPUNG ,-5.446913644,105.2569118
SDIT PERMATA BUNDA II,-5.430619732,105.2453722
SMPN 3 BANDAR LAMPUNG ,-5.441259932,105.2543171
SMPN 6 BANDAR LAMPUNG ,-5.448909476,105.2581528
SMP ISLAMIYAH,-5.449408998,105.2630002
SMP LAZUARDI HAURA GLOBAL ISLAMIC SCHOOL,-5.431816832,105.2414664
SMP TRINITAS ,-5.437176482,105.2539223
SMP XAVERIUS 1 BANDAR LAMPUNG,-5.441723578,105.266886
SMAN 8 BANDAR LAMPUNG,-5.448916577,105.2576602
SMAS ISLAMIYAH ,-5.449662118,105.2631955
SMKS TAMAN KARYA MADYA TEKNIK 3,-5.445576462,105.2597445
SDN 1 GUNUNG TERANG,-5.382100603,105.2339037
SDN 1 LANGKAPURA,-5.393323868,105.2313031
SDN 2 GUNUNG TERANG ,-5.386639812,105.2393321
SDN 2 LANGKAPURA,-5.392429124,105.2274323
SDN 2 SEGALAMIDER,-5.393002799,105.2374728
SDN 3 GUNUNG TERANG,-5.382392682,105.2443271
SDN 3 LANGKAPURA,-5.388037337,105.2261063
SDN 3 SEGALAMIDER,-5.401478746,105.2370884
SD IT FITRAH INSANI LANGKAPURA,-5.397474331,105.2251827
SD IT PELITA KHOIRUL UMMAH,-5.386622123,105.2328631
SD KARTIKA II-6,-5.396623406,105.2380295
SDIT MUHAMMADIYAH,-5.383887008,105.2345303
SMPN 7 BANDAR LAMPUNG,-5.402737526,105.2387771
SMP IT AR RAIHAN,-5.379636107,105.2412161
SMP IT FITRAH INSANI,-5.393757543,105.2277421
SMP MUH. 2 BANDAR LAMPUNG ,-5.384120552,105.2345465
SMA IT QURAN QORDHOVA,-5.380268011,105.2370644
SMAS IT AR RAIHAN,-5.379636107,105.2412161
SDN 1 GUNUNG SULAH,-5.394954148,105.2721801
SDN 1 JAGABAYA I,-5.401427739,105.2627044
SDN 1 JAGABAYA II,-5.39619393,105.2804177
SDN 1 PERUMNAS WAY HALIM,-5.374298247,105.2753107
SDN 1 WAY HALIM PERMAI,-5.384706154,105.2708137
SDN 2 GUNUNG SULAH,-5.392655331,105.2691535
SDN 2 PERUMNAS WAY HALIM,-5.378613776,105.2767344
SDN 2 WAY HALIM PERMAI,-5.385381085,105.2707868
SDN 3 PERUMNAS WAY HALIM,-5.378041255,105.273084
SD AL AZHAR 1 ,-5.378228184,105.2741397
SD AL AZHAR 2,-5.378228184,105.2741397
SD AL AZHAR 3 ,-5.378228184,105.2741397
SD TUNAS MEKAR INDONESIA,-5.400108743,105.2817991
SD XAVERIUS 3 BANDAR LAMPUNG ,-5.385268167,105.279161
SMPN 44 BANDAR LAMPUNG ,-5.395850844,105.2753643
SMP DWI PANGGA,-5.395122387,105.2658552
SMP XAVERIUS 4 BANDAR LAMPUNG ,-5.385217319,105.2792984
SMKN 1 BANDAR LAMPUNG ,-5.393348824,105.2787347
SMKS DWI PANGGA ,-5.395218519,105.2658136
SDN 1 PAHOMAN ,-5.42697795,105.272532
SDN 1 PELITA,-5.415577476,105.2559446
SDN 1 RAWA LAUT ,-5.419414276,105.2646795
SDN 2 PAHOMAN,-5.427270412,105.2725205
SDN 2 RAWA LAUT ,-5.425017662,105.2689871
SDN 3 RAWA LAUT ,-5.424970596,105.2687534
SD FRANSISKUS 2 ,-5.424135196,105.2682961
SMPN 1 BANDAR LAMPUNG ,-5.421177815,105.2645633
SMPN 12 BANDAR LAMPUNG ,-5.421005596,105.2667145
SMPN 23 BANDAR LMAPUNG ,-5.422794811,105.2638218
SMPN 33 BANDAR LAMPUNG ,-5.414520695,105.2604879
SMPN 4 BANDAR LAMPUNG ,-5.423258,105.263088
SMP EKA KARYA ,-5.425441558,105.2601728
SMPS ARJUNA ,-5.417454749,105.2592407
SMP UTAMA 3,-5.422318099,105.2649007
SMP XAVERIUS 2 BANDAR LAMPUNG ,-5.425229741,105.2684035
SMPS TAMANSISWA TANJUNG KARANG ,-5.415870319,105.255612
SMAN 1 BANDAR LAMPUNG ,-5.422522553,105.2652183
SMAS ARJUNA ,-5.417794417,105.2620232
SMAS UTAMA 2 ,-5.4162541,105.2729049
SMAS XAVERIUS BANDAR LAMPUNG ,-5.425149235,105.268474
SMAS YP UNILA,-5.415022772,105.2558628
SMASS UTAMA 3,-5.422287088,105.2648867
SMKN 4 BANDAR LAMPUNG ,-5.423448679,105.2620055
SMK SMTI BANDAR LAMPUNG ,-5.422564396,105.2657445
SMKS ARJUNA ,-5.417408934,105.2592419
SMKS TAMAN KARYA MADYA TEKNIK 1,-5.41279218,105.2567796
SMKS UTAMA ,-5.422339508,105.2648971
SDN 1 KETEGUHAN,-5.458726491,105.253096
SDN 1 KOTAKARANG,-5.455879632,105.2580447
SDN 1 SUKAMAJU,-5.473599325,105.2472457
SDN 2 KETEGUHAN,-5.45873365,105.253083
SDN 2 KOTAKARANG,-5.455823695,105.2617436
SDN 2 SUKAMAJU,-5.488090796,105.2519977
SDN 3 KETEGUHAN,-5.462201909,105.2453549
SDN 3 KOTAKARANG,-5.463436925,105.2640934
SDN 4 KOTAKARANG,-5.457452085,105.2568207
